date,daily_return,equity_twr
2025-07-16,0.0,1.0
2025-07-17,0.0,1.0
2025-07-18,0.0,1.0
2025-07-19,0.0,1.0
2025-07-20,0.0,1.0
2025-07-21,0.0,1.0
2025-07-22,0.0,1.0
2025-07-23,0.0,1.0
2025-07-24,0.0,1.0
2025-07-25,0.0,1.0
2025-07-26,0.0,1.0
2025-07-27,0.0,1.0
2025-07-28,0.0,1.0
2025-07-29,0.0,1.0
2025-08-01,0.0,1.0
2025-09-20,0.0,1.0
2025-09-21,0.0026349203,1.0026349203
2025-09-22,0.2189574415,1.2221692972
2025-09-23,0.0,1.2221692972
2025-09-24,0.0,1.2221692972
2025-09-25,0.0,1.2221692972
2025-09-26,0.0,1.2221692972
2025-09-27,0.0,1.2221692972
2025-09-28,0.0,1.2221692972
2025-09-29,0.0,1.2221692972
2025-09-30,0.0,1.2221692972
2025-10-01,0.0,1.2221692972
2025-10-02,0.0,1.2221692972
2025-10-03,0.0,1.2221692972
2025-10-04,0.0,1.2221692972
2025-10-05,0.0,1.2221692972
2025-10-06,-0.0429208131,1.1697127972
2025-10-07,0.0,1.1697127972
2025-10-08,0.0,1.1697127972
2025-10-09,0.0,1.1697127972
2025-10-10,0.0,1.1697127972
2025-10-11,0.0,1.1697127972
2025-10-12,0.0412133318,1.2179205588
2025-10-13,0.0,1.2179205588
2025-10-14,0.0,1.2179205588
2025-10-15,0.0,1.2179205588
2025-10-16,0.0,1.2179205588
2025-10-17,0.0,1.2179205588
2025-10-18,0.0,1.2179205588
2025-10-19,0.0,1.2179205588
2025-10-20,0.0,1.2179205588
2025-10-21,0.0,1.2179205588
2025-10-22,0.0,1.2179205588
2025-10-23,0.0,1.2179205588
2025-10-24,0.0,1.2179205588
2025-10-25,0.0,1.2179205588
2025-10-26,0.0,1.2179205588
2025-11-03,0.0013247816,1.2195340376
2025-11-04,0.0,1.2195340376
2025-11-05,0.0,1.2195340376
2025-11-06,0.0,1.2195340376
2025-11-07,0.0,1.2195340376
2025-11-08,0.0,1.2195340376
2025-11-09,0.0,1.2195340376
2025-11-10,0.0,1.2195340376
2025-11-11,0.0,1.2195340376
2025-11-12,0.0,1.2195340376
2025-11-13,0.0,1.2195340376
2025-11-14,0.0,1.2195340376
2025-11-15,0.0,1.2195340376
2025-11-16,0.0,1.2195340376
2025-11-17,0.0,1.2195340376
2025-11-18,0.0,1.2195340376
2025-11-19,-0.0018680365,1.2172559035
2025-11-20,0.0,1.2172559035
2025-11-21,0.0738438364,1.3071427493
2025-11-22,0.0,1.3071427493
2025-11-23,0.0,1.3071427493
2025-11-24,0.0,1.3071427493
2025-11-25,0.0,1.3071427493
2025-11-26,0.0,1.3071427493
2025-11-27,0.0,1.3071427493
2025-11-28,0.0,1.3071427493
2025-11-29,0.0,1.3071427493
2025-11-30,0.0,1.3071427493
2025-12-01,0.0,1.3071427493
2025-12-02,0.0,1.3071427493
2025-12-03,0.0,1.3071427493
2025-12-04,0.0,1.3071427493
2025-12-05,0.0,1.3071427493
2025-12-06,0.0,1.3071427493
2025-12-07,0.0,1.3071427493
2025-12-08,0.0,1.3071427493
2025-12-09,0.0,1.3071427493
2025-12-10,0.0,1.3071427493
2025-12-11,0.0,1.3071427493
2025-12-12,0.0,1.3071427493
2025-12-13,0.0,1.3071427493
2025-12-14,0.0,1.3071427493
2025-12-15,0.0,1.3071427493
2025-12-16,0.0,1.3071427493
2025-12-17,0.0,1.3071427493
2025-12-18,0.0,1.3071427493
2025-12-19,0.0,1.3071427493
2025-12-20,0.0,1.3071427493
2025-12-21,0.0,1.3071427493
2025-12-22,0.0,1.3071427493
2025-12-23,0.0,1.3071427493
2025-12-24,0.0,1.3071427493
2025-12-25,0.0,1.3071427493
2025-12-26,0.0,1.3071427493
2025-12-27,0.0,1.3071427493
2025-12-28,0.0,1.3071427493
2025-12-29,0.0,1.3071427493
2025-12-30,0.0,1.3071427493
2025-12-31,0.0,1.3071427493
2026-01-01,0.0,1.3071427493
2026-01-02,0.0,1.3071427493
2026-01-03,0.0,1.3071427493
2026-01-04,0.0,1.3071427493
