date,daily_return,equity_twr
2025-08-28,0.0,1.0
2025-08-29,0.0,1.0
2025-08-30,0.0,1.0
2025-08-31,0.0,1.0
2025-09-01,0.0,1.0
2025-09-02,0.0,1.0
2025-09-03,0.0,1.0
2025-09-04,0.0,1.0
2025-09-05,0.0,1.0
2025-09-06,0.0380220458,1.0380220458
2025-09-07,-0.0163426819,1.0210579817
2025-09-08,-0.0431784344,0.9769702966
2025-09-09,-0.0725507983,0.9060903217
2025-09-10,0.0662379047,0.9661078461
2025-09-11,0.0174340514,0.9829510199
2025-09-12,-0.0075532336,0.9755265612
2025-09-13,0.0170146352,0.9921247898
2025-09-14,0.017118098,1.0091080792
2025-09-15,0.0679362958,1.0776631441
2025-09-16,0.0007787795,1.0785024061
2025-09-17,-0.0123939222,1.0651355312
2025-09-18,0.0226454396,1.0892559935
2025-09-19,0.0408905318,1.1337962504
2025-09-20,0.0077538096,1.1425874906
2025-09-26,0.0911878154,1.2467775478
2025-09-27,0.0094152523,1.258516273
2025-09-28,-0.0169741059,1.2371540845
2025-09-29,0.032555084,1.2774297396
2025-09-30,0.0083706577,1.2881226667
2025-10-01,-0.0166927256,1.2666203885
2025-10-02,-0.0629275114,1.1869151196
2025-10-03,0.0197728832,1.2103838536
2025-10-04,0.0337431659,1.2512260368
2025-10-05,0.0049666222,1.2574404038
2025-10-06,-0.0160803132,1.2372203682
2025-10-07,0.0491367991,1.2980134169
2025-10-08,-0.0231053718,1.2680223343
2025-10-09,0.0287386666,1.3044636054
2025-10-10,-0.0147215603,1.2852598658
2025-11-02,0.2835135863,1.6496484997
2025-11-03,-0.0397238428,1.584118122
2025-11-04,0.0358204762,1.6408619875
2025-11-05,-0.0398543755,1.5754664577
2025-11-06,0.0455004433,1.6471508799
2025-11-07,-0.0148205241,1.6227392406
2025-11-08,-0.0145090501,1.5991948357
2025-11-09,0.0201900768,1.6314827022
2025-11-10,-0.1402735298,1.4026288648
2025-11-11,-0.0047012184,1.3960348002
2025-11-12,0.0534837547,1.470699983
2025-11-13,-0.0755207262,1.3596316522
2025-11-14,0.0298354467,1.4001968699
2025-11-15,-0.0194277105,1.3729942505
2025-11-16,-0.0089939281,1.3606456389
2025-11-17,-0.0062043026,1.3522037816
2025-11-18,-0.0010857475,1.3507356298
2025-11-19,-0.0060858314,1.3425152805
2025-11-20,0.0,1.3425152805
2025-11-21,-0.0068343812,1.3333400193
2025-11-22,0.0241337319,1.3655184898
2025-11-23,-0.015211467,1.3447469504
2025-11-24,-0.0630109586,1.260013156
2025-11-25,-0.057031307,1.1881529588
2025-11-26,-0.0259618321,1.1573063312
2025-11-27,-0.0054747198,1.1509704033
2025-11-28,0.0139550056,1.1670322017
2025-11-29,0.0014247755,1.1686949606
2025-11-30,0.0369738549,1.2119061185
2025-12-01,0.0817762702,1.3110112807
2025-12-02,-0.0731393713,1.2151247399
2025-12-03,-0.0464204831,1.1587180624
2025-12-04,0.0232748027,1.1856869967
2025-12-05,0.0725311078,1.2716861881
2025-12-06,-0.0137543302,1.2541949964
2025-12-07,0.002961523,1.2579093237
2025-12-08,-0.0121692087,1.2426015626
2025-12-09,-0.0209705877,1.2165434776
2025-12-10,0.04919437,1.2763905675
2025-12-11,-0.0060684334,1.2686448764
2025-12-12,0.0423632407,1.3223887846
2025-12-13,-0.0014187474,1.320512649
2025-12-14,0.0333129422,1.3645028105
2025-12-15,0.0691616618,1.4588740924
2025-12-16,-0.0358035121,1.4066412762
2025-12-17,0.1074645789,1.5578053886
2025-12-18,0.0368641788,1.615232605
2025-12-19,-0.0620015943,1.5150856083
2025-12-20,-0.0076777083,1.503453223
2025-12-21,-0.0060103677,1.4944169163
2025-12-22,0.0130864322,1.5139735019
2025-12-23,0.0226178873,1.548216384
2025-12-24,-0.0414489329,1.484044467
2025-12-25,-0.0551790949,1.4021562365
2025-12-26,0.006221212,1.4108793477
2025-12-27,-0.0128063912,1.3928110748
2025-12-28,0.0470745994,1.4583770982
2025-12-29,-0.0008502823,1.457137066
2025-12-30,0.0136174424,1.4769795461
2025-12-31,-0.010666644,1.461225131
2026-01-01,-0.052504303,1.384504524
2026-01-02,-0.1357534144,1.1965533076
2026-01-03,-0.0346885034,1.1550466641
2026-01-04,-0.0448262522,1.1032702511
