date,daily_return,equity_twr
2025-08-25,0.0,1.0
2025-08-26,0.0,1.0
2025-08-27,0.0,1.0
2025-08-28,0.0,1.0
2025-08-29,0.0,1.0
2025-08-30,0.0,1.0
2025-08-31,0.0,1.0
2025-09-01,0.0,1.0
2025-09-02,0.0,1.0
2025-09-03,0.0,1.0
2025-09-04,0.0,1.0
2025-09-05,0.0,1.0
2025-09-06,0.0,1.0
2025-09-07,0.0,1.0
2025-09-13,0.0162897381,1.0162897381
2025-09-14,0.0172311384,1.0338015672
2025-09-15,0.0393341594,1.0744652829
2025-09-16,0.003455416,1.0781780074
2025-09-17,-0.0107408995,1.0665974058
2025-09-18,-0.0196702723,1.0456171444
2025-09-19,0.0464020356,1.0941359083
2025-09-20,-0.0054340084,1.0881903646
2025-09-21,0.0142558478,1.1037034408
2025-09-22,0.0977012712,1.21153667
2025-09-23,0.0067090304,1.2196649064
2025-09-24,0.0074937424,1.228804761
2025-09-25,0.0801541254,1.3272985319
2025-09-26,-0.0373103376,1.2777765756
2025-09-27,0.0012507383,1.2793747397
2025-10-06,-0.199405834,1.0242599527
2025-10-07,0.2372174987,1.2672323367
2025-10-08,-0.0144128503,1.2489679068
2025-10-09,0.1018671412,1.3761966969
2025-10-10,0.2307354007,1.6937339932
2025-10-11,0.0264996327,1.7386173219
2025-10-12,-0.0906975029,1.5809290723
2025-10-13,0.0790764759,1.705943372
2025-10-14,0.0312077101,1.7591819582
2025-10-15,0.036338558,1.8231080938
2025-10-16,0.0207756741,1.8609843934
2025-10-17,0.0015429705,1.8638558374
2025-10-18,-0.0038888509,1.8566075799
2025-10-19,-0.0262161269,1.80793452
2025-10-20,0.0047891596,1.816593007
2025-10-21,0.0098289485,1.8344482061
2025-10-22,0.0423700782,1.9121739201
2025-10-23,-0.0193972324,1.8750830381
2025-10-24,-0.0205998589,1.8364565921
2025-10-25,-0.0022791755,1.8322709853
2025-10-26,-0.0406905893,1.7577147991
2025-10-27,-0.0080705703,1.7435290383
2025-11-03,0.260872148,2.1983672036
2025-11-04,0.0,2.1983672036
2025-11-05,0.0,2.1983672036
2025-11-06,0.0,2.1983672036
2025-11-07,0.0,2.1983672036
2025-11-08,0.0,2.1983672036
2025-11-09,0.0,2.1983672036
2025-11-10,0.0,2.1983672036
2025-11-11,0.0,2.1983672036
2025-11-12,0.0,2.1983672036
2025-11-13,0.0,2.1983672036
2025-11-14,0.0,2.1983672036
2025-11-15,0.0,2.1983672036
2025-11-16,0.0,2.1983672036
2025-11-17,0.0,2.1983672036
2025-11-18,0.0,2.1983672036
2025-11-19,0.0,2.1983672036
2025-11-20,0.0,2.1983672036
2025-11-21,0.0,2.1983672036
