date,daily_return,equity_twr
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-14,0.0,1.0
2025-07-15,0.0,1.0
2025-07-16,0.0,1.0
2025-07-17,0.0,1.0
2025-07-18,0.0,1.0
2025-07-19,0.0,1.0
2025-07-20,0.0,1.0
2025-07-21,0.0,1.0
2025-07-22,0.0,1.0
2025-07-23,0.0,1.0
2025-07-24,0.0,1.0
2025-07-25,0.0,1.0
2025-08-01,0.0,1.0
2025-09-21,1.0,2.0
2025-09-22,0.084650907,2.169301814
2025-09-23,0.4610602707,3.1694806956
2025-09-24,0.1690456054,3.7052674786
2025-09-25,0.1927756249,4.4195527322
2025-09-26,-0.0293659333,4.2897684414
2025-09-27,0.02060843,4.3781738341
2025-09-28,-0.0497551912,4.1603369579
2025-09-29,0.007078179,4.1897845675
2025-09-30,-0.0042498713,4.1719785224
2025-10-01,-0.0117212794,4.1230775964
2025-10-02,-0.0384838318,3.9644057717
2025-10-03,-0.0494020863,3.7685558557
2025-10-04,0.0321424571,3.8896865006
2025-10-05,-0.0013382882,3.884480979
2025-10-06,-0.0480637688,3.6977781834
2025-10-07,0.0552761535,3.9021771378
2025-10-08,0.0052021209,3.9224767351
2025-10-09,0.0141433417,3.9779536638
2025-10-30,0.2246585907,4.8716351278
2025-10-31,0.0346362166,5.0403701373
2025-11-01,0.0200821414,5.1415915631
2025-11-02,0.0128154804,5.207483529
2025-11-03,0.0422200864,5.4273439335
2025-11-04,-0.1220912948,4.7647124854
2025-11-05,0.0,4.7647124854
2025-11-06,0.0,4.7647124854
2025-11-07,0.0,4.7647124854
2025-11-08,0.0,4.7647124854
2025-11-09,0.0,4.7647124854
2025-11-10,0.0,4.7647124854
2025-11-11,0.0,4.7647124854
2025-11-12,0.0,4.7647124854
2025-11-13,0.0,4.7647124854
2025-11-14,0.0,4.7647124854
2025-11-15,0.0,4.7647124854
2025-11-16,0.0,4.7647124854
2025-11-17,0.0,4.7647124854
2025-11-18,0.0,4.7647124854
2025-11-19,0.0,4.7647124854
2025-11-20,0.0,4.7647124854
2025-11-21,0.0,4.7647124854
2025-11-22,0.0,4.7647124854
2025-11-23,0.0,4.7647124854
2025-11-24,0.0,4.7647124854
2025-11-25,0.0,4.7647124854
2025-11-26,0.0,4.7647124854
2025-11-27,0.0,4.7647124854
2025-11-28,0.0,4.7647124854
2025-11-29,0.0,4.7647124854
2025-11-30,0.0,4.7647124854
2025-12-01,0.0,4.7647124854
2025-12-02,0.0,4.7647124854
2025-12-03,0.0,4.7647124854
2025-12-04,0.0,4.7647124854
2025-12-05,0.0,4.7647124854
2025-12-06,0.0,4.7647124854
2025-12-07,0.0,4.7647124854
2025-12-08,0.0,4.7647124854
2025-12-09,0.0,4.7647124854
2025-12-10,0.0,4.7647124854
2025-12-11,0.0,4.7647124854
2025-12-12,0.0,4.7647124854
2025-12-13,0.0,4.7647124854
2025-12-14,0.0,4.7647124854
2025-12-15,0.0,4.7647124854
2025-12-16,0.0,4.7647124854
2025-12-17,0.0,4.7647124854
2025-12-18,0.0,4.7647124854
2025-12-19,0.0,4.7647124854
2025-12-20,0.0,4.7647124854
2025-12-21,0.0,4.7647124854
2025-12-22,0.0,4.7647124854
2025-12-23,0.0,4.7647124854
2025-12-24,0.0,4.7647124854
2025-12-25,0.0,4.7647124854
2025-12-26,0.0,4.7647124854
2025-12-27,0.0,4.7647124854
2025-12-28,0.0,4.7647124854
2025-12-29,0.0,4.7647124854
2025-12-30,0.0,4.7647124854
2025-12-31,0.0,4.7647124854
2026-01-01,0.0,4.7647124854
2026-01-02,0.0,4.7647124854
2026-01-03,0.0,4.7647124854
2026-01-04,0.0,4.7647124854
